asdf_id,gpw_v4_rev11_density.2020.mean,Level,gqid,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,6666.8902697,ADM2,0,SOM,SOM-ADM2-99751826B49467144,SOM,Banadir,ADM2
1,113.50284228,ADM2,1,SOM,SOM-ADM2-99751826B266853,SOM,Borama,ADM2
2,12.1051398591,ADM2,2,SOM,SOM-ADM2-99751826B25132247,SOM,Baki,ADM2
3,17.24604121,ADM2,3,SOM,SOM-ADM2-99751826B37349191,SOM,Lughaye,ADM2
4,7.52133610044,ADM2,4,SOM,SOM-ADM2-99751826B54174530,SOM,Zeylac,ADM2
5,67.407672503,ADM2,5,SOM,SOM-ADM2-99751826B53814485,SOM,Hargeysa,ADM2
6,9.45047020258,ADM2,6,SOM,SOM-ADM2-99751826B10959459,SOM,Berbera,ADM2
7,32.23089716,ADM2,7,SOM,SOM-ADM2-99751826B43160830,SOM,Gebiley,ADM2
8,29.3842777457,ADM2,8,SOM,SOM-ADM2-99751826B30298812,SOM,Burco,ADM2
9,9.18497203014,ADM2,9,SOM,SOM-ADM2-99751826B62689487,SOM,Buuhoodle,ADM2
10,9.56034813083,ADM2,10,SOM,SOM-ADM2-99751826B67257095,SOM,Owdweyne,ADM2
11,17.4238829349,ADM2,11,SOM,SOM-ADM2-99751826B91311239,SOM,Sheikh,ADM2
12,10.8189344632,ADM2,12,SOM,SOM-ADM2-99751826B29698062,SOM,Laas Caanood,ADM2
13,5.7555136796,ADM2,13,SOM,SOM-ADM2-99751826B72288263,SOM,Caynabo,ADM2
14,4.73764552572,ADM2,14,SOM,SOM-ADM2-99751826B6677055,SOM,Taleex,ADM2
15,3.4139038226,ADM2,15,SOM,SOM-ADM2-99751826B48838712,SOM,Xudun,ADM2
16,7.43857885825,ADM2,16,SOM,SOM-ADM2-99751826B54350755,SOM,Ceerigaabo,ADM2
17,7.11547581975,ADM2,17,SOM,SOM-ADM2-99751826B56671221,SOM,Ceel Afweyn,ADM2
18,11.5309064619,ADM2,18,SOM,SOM-ADM2-99751826B91293066,SOM,Laasqoray,ADM2
19,33.3594124837,ADM2,19,SOM,SOM-ADM2-99751826B28577952,SOM,Bossaso,ADM2
20,2.21508961008,ADM2,20,SOM,SOM-ADM2-99751826B58261964,SOM,Bandarbeyla,ADM2
21,13.2688226433,ADM2,21,SOM,SOM-ADM2-99751826B54656027,SOM,Caluula,ADM2
22,4.47596770441,ADM2,22,SOM,SOM-ADM2-99751826B55633353,SOM,Iskushuban,ADM2
23,8.99603350906,ADM2,23,SOM,SOM-ADM2-99751826B57581972,SOM,Qandala,ADM2
24,7.49112035171,ADM2,24,SOM,SOM-ADM2-99751826B73012157,SOM,Qardho,ADM2
25,10.814811307,ADM2,25,SOM,SOM-ADM2-99751826B70311856,SOM,Garoowe,ADM2
26,6.26944713529,ADM2,26,SOM,SOM-ADM2-99751826B66600154,SOM,Burtinle,ADM2
27,5.64751109582,ADM2,27,SOM,SOM-ADM2-99751826B6132793,SOM,Eyl,ADM2
28,14.8421431364,ADM2,28,SOM,SOM-ADM2-99751826B84436036,SOM,Gaalkacyo,ADM2
29,33.6131076721,ADM2,29,SOM,SOM-ADM2-99751826B23617891,SOM,Galdogob,ADM2
30,4.47242778141,ADM2,30,SOM,SOM-ADM2-99751826B70170688,SOM,Hobyo,ADM2
31,5.76898536287,ADM2,31,SOM,SOM-ADM2-99751826B82710957,SOM,Jariiban,ADM2
32,21.3581029214,ADM2,32,SOM,SOM-ADM2-99751826B16390854,SOM,Xarardheere,ADM2
33,11.8172805712,ADM2,33,SOM,SOM-ADM2-99751826B42169892,SOM,Dhuusamarreeb,ADM2
34,11.4366613386,ADM2,34,SOM,SOM-ADM2-99751826B21668232,SOM,Cabudwaaq,ADM2
35,11.1211554873,ADM2,35,SOM,SOM-ADM2-99751826B45273259,SOM,Cadaado,ADM2
36,9.83283081098,ADM2,36,SOM,SOM-ADM2-99751826B52435263,SOM,Ceel Buur,ADM2
37,11.6244395901,ADM2,37,SOM,SOM-ADM2-99751826B66916143,SOM,Ceel Dheer,ADM2
38,18.9344348604,ADM2,38,SOM,SOM-ADM2-99751826B43808684,SOM,Belet Weyne,ADM2
39,11.5784562412,ADM2,39,SOM,SOM-ADM2-99751826B59204691,SOM,Bulo Burto,ADM2
40,23.6714832311,ADM2,40,SOM,SOM-ADM2-99751826B99368745,SOM,Jalalaqsi,ADM2
41,91.8335941162,ADM2,41,SOM,SOM-ADM2-99751826B64083965,SOM,Jowhar,ADM2
42,24.9135996488,ADM2,42,SOM,SOM-ADM2-99751826B23450380,SOM,Adan Yabaal,ADM2
43,60.9339320624,ADM2,43,SOM,SOM-ADM2-99751826B32891465,SOM,Balcad,ADM2
44,13.968009336,ADM2,44,SOM,SOM-ADM2-99751826B72392982,SOM,Cadale,ADM2
45,305.786309853,ADM2,45,SOM,SOM-ADM2-99751826B85110893,SOM,Marka,ADM2
46,91.9586556109,ADM2,46,SOM,SOM-ADM2-99751826B94925769,SOM,Afgooye,ADM2
47,34.2055819107,ADM2,47,SOM,SOM-ADM2-99751826B12509980,SOM,Baraawe,ADM2
48,37.032475948,ADM2,48,SOM,SOM-ADM2-99751826B30430050,SOM,Kurtunwaarey,ADM2
49,67.99358491,ADM2,49,SOM,SOM-ADM2-99751826B65325004,SOM,Qoryooley,ADM2
50,11.4876971215,ADM2,50,SOM,SOM-ADM2-99751826B58025983,SOM,Sablaale,ADM2
51,44.3854787411,ADM2,51,SOM,SOM-ADM2-99751826B43650332,SOM,Wanla Weyn,ADM2
52,39.8325480924,ADM2,52,SOM,SOM-ADM2-99751826B81651706,SOM,Baydhaba,ADM2
53,12.411590205,ADM2,53,SOM,SOM-ADM2-99751826B21045705,SOM,Buur Hakaba,ADM2
54,13.7378782765,ADM2,54,SOM,SOM-ADM2-99751826B18371651,SOM,Diinsoor,ADM2
55,46.0428008731,ADM2,55,SOM,SOM-ADM2-99751826B2306261,SOM,Qansax Dheere,ADM2
56,28.4082160641,ADM2,56,SOM,SOM-ADM2-99751826B71654614,SOM,Xudur,ADM2
57,6.1716084043,ADM2,57,SOM,SOM-ADM2-99751826B70271454,SOM,Ceel Barde,ADM2
58,19.9151417145,ADM2,58,SOM,SOM-ADM2-99751826B50936417,SOM,Tayeeglow,ADM2
59,41.1444119978,ADM2,59,SOM,SOM-ADM2-99751826B6839821,SOM,Waajid,ADM2
60,18.5947713907,ADM2,60,SOM,SOM-ADM2-99751826B30191570,SOM,Rab Dhuure,ADM2
61,12.0671938189,ADM2,61,SOM,SOM-ADM2-99751826B84961581,SOM,Garbahaarey,ADM2
62,11.5727931382,ADM2,62,SOM,SOM-ADM2-99751826B20656270,SOM,Baardheere,ADM2
63,23.0278286273,ADM2,63,SOM,SOM-ADM2-99751826B49771866,SOM,Belet Xaawo,ADM2
64,4.16360835199,ADM2,64,SOM,SOM-ADM2-99751826B20825405,SOM,Ceel Waaq,ADM2
65,25.731072924,ADM2,65,SOM,SOM-ADM2-99751826B80544870,SOM,Doolow,ADM2
66,12.6414337366,ADM2,66,SOM,SOM-ADM2-99751826B88806048,SOM,Luuq,ADM2
67,17.4971056737,ADM2,67,SOM,SOM-ADM2-99751826B55590959,SOM,Bu'aale,ADM2
68,36.1956089645,ADM2,68,SOM,SOM-ADM2-99751826B38306038,SOM,Jilib,ADM2
69,13.1836101608,ADM2,69,SOM,SOM-ADM2-99751826B28841643,SOM,Saakow,ADM2
70,29.9967903524,ADM2,70,SOM,SOM-ADM2-99751826B86551469,SOM,Kismaayo,ADM2
71,3.1711520258,ADM2,71,SOM,SOM-ADM2-99751826B8071464,SOM,Afmadow,ADM2
72,6.60742241852,ADM2,72,SOM,SOM-ADM2-99751826B58768720,SOM,Badhaadhe,ADM2
73,99.4220344014,ADM2,73,SOM,SOM-ADM2-99751826B37321015,SOM,Jamaame,ADM2
